,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound
1483,D. Wong,5.0,i bought sd card use cell phone it worked really well far i could tell transfers data fast rate no complaints,2013-02-14,662,0,0,0,0,0.0,0.0
1484,D. Woods,5.0,this mem card fast exactly supposed dosave pictures quickly plenty room more,2013-05-15,572,0,0,0,0,0.0,0.0
1485,Dzilizi,4.0,i bought samsung note tablet store movies books i watched full movie it though i watched full tv show without issues i really anything else needs speed i cant say fast is,2013-05-05,582,0,0,0,0,0.0,0.0
1486,EAC,5.0,i bought samsung note i could store entire music library phone all i pop cover put microsd slot worked perfectly my phone gb storage take iphone,2014-10-05,64,0,0,0,0,0.0,0.0
1487,eagle,5.0,ive got number sandisk brand products none ever failed years ive used them thats saying something days electronicsthis card performing well keeping data storage devices i using one video recorder one scanner somehow i would expect nothing less good know quality consistent,2014-01-20,322,0,0,0,0,0.0,0.0
1488,E.Barroso,5.0,works well new tab pro have able download lots content youtube watch long flights will use device takes sd cards very happy it,2014-05-25,197,0,0,0,0,0.0,0.0
1489,eblak3,5.0,besides blowing mind gb data fit chip small and also magnetshow work nothing particularly special product it works intended cheap sandisk kingston gotos things datastorage,2014-04-24,228,0,0,0,0,0.0,0.0
1490,"ecc ""book pirate""",4.0,it exactly advertised be shipped fast i love converter comes i plug computer,2014-11-01,37,0,0,0,0,0.0,0.0
1491,Eckzsell,5.0,i big problem i lately finding trustworthy source sd cards they manufactured china rip companies selling fake cards competitive price fooled if price seems unbelievable end card less capacity paying for lower class sometimes faulty card altogetherwhen comes storage pay extra cash get something reliable like sandisk ultra gb sdxc class memory card it blazaing fast works well htc evo lte android phoneside note this card brings total phone storage capacity gb that gb i full access to gb synced cloud,2013-09-03,461,0,0,0,0,0.0,0.0
1492,EcologicoNYC,4.0,i bought galaxy s expand memory capacity bit more it works intended do fast transfer rate problems far,2013-06-27,529,0,0,0,0,0.0,0.0
1493,ECorganist,5.0,i got expand memory storage samsung galaxy note the tablet paperwork claim support gb reviews cards note said gb worked fine and work fine doesi store mostly music here ive got gb worth music would taken gb built tablet i also use tablet sheet music i needed capability there too so best solution far worked wonderfullyand top that came microsd card sd card adapter making file transfers even easier overall i would highly highly recommend product,2013-09-08,456,0,0,0,0,0.0,0.0
1494,Ed Brunell,5.0,work perfectly camera reads writes fast,2014-12-07,1,0,0,0,0,0.0,0.0
1495,"Edd Anderson ""ezduzed""",4.0,i several devices use micro cards i buy anticipation needs future so i going test see works i get this most items i buy good price now i loading cameras recording gear trip maybe day le mans i check i travel i check batteries spares chargersso far i problem sandisk i gearing trip destination bit question point,2013-10-24,410,0,0,0,0,0.0,0.0
1496,eddie,5.0,nice producthas plenty space quick easy useit also nice thereafter use many optional devices,2013-08-12,483,0,0,0,0,0.0,0.0
1497,eddie,4.0,product worked well go pro black edition slow glitchy love products reccomend,2013-05-13,574,0,0,0,0,0.0,0.0
1498,eddiewardo13,5.0,this card awesome even seems make phone run faster i would say must all,2012-11-26,742,0,0,0,0,0.0,0.0
1499,Edgar Allen Poor,1.0,if contour camera want use with it format dont even bothernow i room photos not i wanted,2013-08-28,467,1,0,1,1,1.0,0.2065493143772374
1500,Edgar A. Villalta,5.0,it large storage capacity small package store photos data this,2013-04-20,597,0,0,0,0,0.0,0.0
1501,"Edgar H. Green ""Jazzman""",5.0,fast recordingdowning speed you cant go wrong wit this it also used smartphonei would recommend friend,2014-05-18,204,0,0,0,0,0.0,0.0
1502,Ed Hamilton,5.0,excellent used upgrade capacity asus tfx tablet greatly enhanced abilities tablet easy use transfer information necessary,2013-11-25,378,0,0,0,0,0.0,0.0
1503,Ed,5.0,i bought use gopro hero black edition it excellent storage rw speeds i filmed p w fps shot pictures rate pictures second issues allexcellent product especially camera,2013-09-02,462,0,0,0,0,0.0,0.0
1504,Ed,5.0,ive seen several recent reviews complaining getting packaging sd cards one person even questioned card new not amazon offers frustrationfree packaging many products take care opening you repack plain brown cardboard make easier consumer this card option come retail packing amazons frustrationfree packaging its ordering option seems option defaults frustrationfreeif order retail packaging option look like store shelves,2013-02-17,659,0,0,0,0,0.0,0.0
1505,ed,5.0,scan disk gb microsdhc cuhs memory card with adapter works well for its purposepleasedwith product name brandaaaaaaaa,2014-04-17,235,0,0,0,0,0.0,0.0
1506,ed,5.0,works fine havent issues bought another gb micro sd mini used yet so far im pleased purchaseordered hassle free packaging card seems legit decided order retail packaging card since i read stories fakes shipped people,2012-11-28,740,0,0,0,0,0.0,0.0
1507,ed lamb,5.0,speed great works great works great everything i tried honest my wife thinks i creating disneyworld electronics goodies i bought well toys for old juvenile memory makes lot better,2014-02-21,290,0,0,0,0,0.0,0.0
1508,Ed Reeves,5.0,i put galaxy tablet increased memory gb it hard believe much space something small,2012-12-15,723,0,0,0,0,0.0,0.0
1509,Edua,5.0,give memory card star works like charm easy use plug play the packaging easy open worry damaging card slipped right samsung galaxy s maxing card slot sandisk gb displays gb stable fast works really good format anything extra steps use it recommend everyone,2013-06-14,542,0,0,0,0,0.0,0.0
1510,"Eduardo R. Felipe ""Eduardo""",4.0,always bought sandisk memories cameras still satisfied this time bought galaxy siii the speed class reliability worthsempre comprei memoacuterias da sandisk para minhas cmeras e continuo satisfeito desta vez comprei para galaxy siii a velocidade classe e confiabilidade valem pena,2013-12-11,362,0,0,0,0,0.0,0.0
1511,"Edward C ""TekDragon""",5.0,bought two these one galaxy note one wifes samsung charge no preformatting required simply take case pop phone recognized within seconds actual space gigabytes change right money,2013-07-12,514,1,0,1,1,1.0,0.2065493143772374
1512,Edward Ducote,5.0,i always good success sandisk one let down i use camone pov works well,2014-02-18,293,0,0,0,0,0.0,0.0
1513,Edward Farfan,4.0,disk works expected rarely fill purging contents,2014-07-14,147,0,0,0,0,0.0,0.0
1514,Edward,5.0,arrived fast unpacked easily installed quickly operates without problems i happy purchase its currently installed samasun ativ smart pc,2013-03-09,639,0,0,0,0,0.0,0.0
1515,Edward M.,4.0,was able copy items old memory card one plugged phone without formatting works like charm i galaxy s,2013-10-02,432,0,0,0,0,0.0,0.0
1516,Edward Streiff,5.0,this memory card worked well samsung s instantly recognized i single thing aside installing it,2013-06-18,538,0,0,0,0,0.0,0.0
1517,Edward T. Barron,5.0,came late ski season mounting bike helmet summer ski season starts ski helmet,2014-02-05,306,0,0,0,0,0.0,0.0
1518,Edwin A. Easterby,5.0,i use tandem niftydrive macbook pro for know nifty drive small adapter made machined aluminum fits seamlessly macs ssd slot with gb micro ssd add hard drive space inexpensively i put entire dropbox folder over gbs thing every bit fast macs internal ssd in fact i think might faster,2014-06-19,172,0,0,0,0,0.0,0.0
1519,"Ed Win ""Al Smitheee""",5.0,bought use gopro black it works advertised plenty room photos video i yet fill card recording timelapse period hours,2013-05-05,582,0,0,0,0,0.0,0.0
1520,Edwin Decena,5.0,i bouthg memory contry many stores seles good product i well buit over iplication phone wrock great whet get chance well g,2013-09-22,442,0,0,0,0,0.0,0.0
1521,"Edwin Germn ""SleiteR""",5.0,this fastest sd card ever own mbs recorded full hd videos and card help lot it,2013-02-19,657,0,0,0,0,0.0,0.0
1522,EE,5.0,sandisk cards seem least write errors experience this great price too win win,2013-09-16,448,0,0,0,0,0.0,0.0
1523,Ee,5.0,the price gb micro sd card excellent compare retail the card reliable issues all i bought one samsung note tablet samsung galaxy s,2013-10-07,427,0,0,0,0,0.0,0.0
1524,EeZeEpEe,5.0,using galaxy s iii works fine stock touchwiz custom roms havent corruptions lost files purchased hit range looks like itll stay while,2013-02-28,648,0,0,0,0,0.0,0.0
1525,E.Gutierrez,5.0,its amazing gb micro sd works samsung note i using yoga pro modified nifty minidrive,2014-03-19,264,1,0,1,1,1.0,0.2065493143772374
1526,EGXX,5.0,this card great i originally bought cheap class card gb storage no problems farproscheap cards would cost lot moreclass gbfastworks smartphoneconnone far,2013-02-21,655,0,0,0,0,0.0,0.0
1527,"E. Handel ""zapeee""",1.0,memory card failed mysteriously overnight sure why phone works fine different cardhere four words,2013-01-24,683,0,1,1,-1,0.0,0.0
1528,E. Hansen,5.0,bought expand htc sensation still loaded completely still sure well sensation organize gb music probably replace ipod awesome little chip adds tons possibility otherwise great phone didnt problems formatting size limits,2012-09-20,809,0,0,0,0,0.0,0.0
1529,E,5.0,i alway bought brand reason month ago i got brand bad move i ended getting money back i bought one works like champ way go,2014-03-20,263,0,0,0,0,0.0,0.0
1530,eightGrand,5.0,bought use samsung galaxy note verizon works wonderfully i need reformat just pop ready use didnt get speeds manufacturer says i need stream media it,2013-02-01,675,0,0,0,0,0.0,0.0
1531,Eins-tein,4.0,love extra space available sux future phones android moving away sd slots i love physical storage available i delete something cloud i cant recover it with thats worrythe reason i give stars sometimes feels little slow nothing i cant deal with,2014-07-03,158,0,0,0,0,0.0,0.0
1532,E. Jimenez,5.0,this good microsd memory use android phone sees gb space it recognize immediately phone freeze im playing videogame like asphalt the design cool too i like speed i would recommend memory smartphone user,2012-12-24,714,0,0,0,0,0.0,0.0
1533,EJPD,5.0,i bought expand memory ms surface works perfectly music photo perfectly stored works like charm,2013-01-20,687,0,0,0,0,0.0,0.0
1534,EK,5.0,very fast reliable product i use every day two computers saving multiple files one pc moving another backup,2013-11-24,379,0,0,0,0,0.0,0.0
1535,E. Kimball,5.0,this makes great supplement latest greatest ssd i keep personal documents work laptop micro sd card save space primary ssd,2014-08-05,125,0,0,0,0,0.0,0.0
1536,EKPG,5.0,love sd card i great results it i could happier it love price i able get for i bought probably buy more i think i ever buy anything ultra series sd cards,2013-01-21,686,0,0,0,0,0.0,0.0
1537,"E. Lauber ""Serious about the book""",5.0,this great microsd card it fast gb gives lots capacity smartphone,2013-07-16,510,0,0,0,0,0.0,0.0
1538,E. Lawrence Budro,5.0,copied data phone gb sdcard new gb everything worked fine first time card installed i previously done gb gb results it increase speed phone controlled phones operating system,2013-06-04,552,0,0,0,0,0.0,0.0
1539,Elchis,5.0,i love product the space perfect device runs really fast i thought came great price too i highly recommend product,2013-07-28,498,0,0,0,0,0.0,0.0
1540,El cholo canadiense,4.0,this card seems work well enough speed far working fine good value great quality lhb,2013-04-23,594,0,0,0,0,0.0,0.0
1541,"Elder Norm ""Elder Norm""",5.0,i bought size adapter macbook pro it fits right sd slot nice flush it little handle use remove but i love getting extra gig memory use time,2013-09-04,460,0,0,0,0,0.0,0.0
1542,eldiego77cp,5.0,the sd card works perfectly i use samsung galaxy s lte sd recognized without problems i need format sd just plug playups sent shippment days i recommend product provider,2013-09-03,461,0,0,0,0,0.0,0.0
1543,eldredn,4.0,works expected i able successfully upgrade samsung galaxy s memory now photosvideos saved sd card,2013-06-10,546,0,0,0,0,0.0,0.0
1544,El DuKe.,5.0,good product excellent quality original works perfect phone i recommend anyone needs good memory phone,2014-05-29,193,0,0,0,0,0.0,0.0
1545,"Element ""Nina""",5.0,this card exactly i expecting it fit perfect tablet i enough memory add playlist songs,2014-08-03,127,0,0,0,0,0.0,0.0
1546,Elias Sierra,5.0,im photography i got goprothis micro sd card class great photovideo best thing i has price i went bestbuy walmart target even cvs looking deals be aware find micro sd cards on sale none class the cheapest i found class gb around so smart get time wait patiently,2014-03-04,279,0,0,0,0,0.0,0.0
1547,Eliazar,5.0,got memory card good deal im using samsung galaxy s so far i never filled memory card still least half free space card,2014-08-06,124,0,0,0,0,0.0,0.0
1548,Eli,5.0,incredible speed phone recognized within moments i able transfer books music videos everything onto phone room spare without worry fully consumed memory card arrived day earlier i even assumedprosincredible speedclass exactly orderedtons storageconsill serious nothing wrong here,2014-03-23,260,0,0,0,0,0.0,0.0
1549,Elle,5.0,i got item dash cam convertible the dash cam recording times i driving car i needed lot memory this card job brand name fantastic problems works ought to,2014-06-05,186,0,0,0,0,0.0,0.0
1550,Ellen R. Kaplan,5.0,what great find it works perfectly tablet extra storage photos buy this,2013-06-21,535,0,0,0,0,0.0,0.0
1551,"Ellie ""Eilean Siar""",5.0,this went new samsung galaxy light cell phone store music files cell phone photos zero problems these sd cards work until dont sandisk top brand i trouble recommending this look many dozens recommendations too class uhs one fastest protocols available currently,2014-02-05,306,0,0,0,0,0.0,0.0
1552,Elliott Bck,1.0,i got card let copy files it would a recognize three computers android tab home b unmount middle file copies these two things happened randomly i got replacement suffered problem letting format yay farther i got unit crapping mb file transferavoid this guy,2012-05-11,941,0,0,0,0,0.0,0.0
1553,ELSC,5.0,i shopping class microsd gopro staples od om sells amazon bought works well cam comes sd adapter,2013-03-08,640,0,0,0,0,0.0,0.0
1554,"E. L. Willis ""ELWood""",4.0,works well mysony pcmm portable linear pcm voice recorder electret condenser stereo microphones khzbit gb memory usb highspeed port black,2013-11-11,392,0,0,0,0,0.0,0.0
1555,Elynde,5.0,happily nestled memory slot nook tablet performing promised now nook memory slot easier access all well the card arrived time well packaged chugging right along two months now i would definately recommend lover video music space consuming files,2013-02-28,648,0,0,0,0,0.0,0.0
1556,E. Mautz,5.0,works great galaxy s iii i converted good music flac files i lossless playback using android gonemad player happier transfer speed good hickup playing back m audio files,2012-10-19,780,0,0,0,0,0.0,0.0
1557,emerrb,5.0,memory buy video camera cell probe camera battery first memory capacity,2013-04-01,616,0,0,0,0,0.0,0.0
1558,Em,5.0,my ipod finally bit dust i bought card use galaxy i could use new music player it easy transfer music get playing right away i cant complain all nice able expand storage phone enough i go buy another ipod i a lot music thing holds slow phone all no complaints here i actually bought another one galaxy tab i keep music too so safe say i would buy again,2014-05-03,219,1,0,1,1,1.0,0.2065493143772374
1559,"Emile Heriveaux ""emilehf""",5.0,well i almost going less space memory sony xperia zl wow gb memory must days i love choice product works good excellent,2013-04-09,608,0,0,0,0,0.0,0.0
1560,Emileigh,4.0,a great chip works fine camera tablet streaming music it putting something high demand like raspberry pi cuboxi higher speed chips better,2014-04-25,227,0,0,0,0,0.0,0.0
1561,Emilio Turcios,5.0,fast easy great amount capacity xc pretty quick i enjoying mine galaxy s,2013-12-30,343,0,0,0,0,0.0,0.0
1562,Emily C.,5.0,i bought expandedbackup memory tablet a samsung galaxy tab installs easily works quickly even great sandisk memory app helps organize files see visual representation much memory taken much freeit came adapter i plug computer transfer files i want to awesome nothing bad say memory card,2014-07-03,158,0,0,0,0,0.0,0.0
1563,"E. Munson ""Erik""",5.0,i use surface rt store movies etc kids sure wont tampered,2013-05-20,567,0,0,0,0,0.0,0.0
1564,"Endi ""Endiablado""",5.0,this work i note need know get workthey say note go gigs accuratei got one work note just format computer fat kband presto lot space whatever wishjust download free version easy us partition master format card using settingsfat kbit worked,2013-03-10,638,0,0,0,0,0.0,0.0
1565,"Engee00 ""Engee00""",5.0,im sure i say helpful we bought months ago it worked bought it its still working i cant say anything speed since tested it weve never issues speed though i trust sandisk everything weve bought good,2014-06-24,167,2,0,2,2,1.0,0.3423802275066531
1566,Engineer Brad,5.0,what say beyond headline it works expected i would buy i need reliable storage,2014-01-02,340,0,0,0,0,0.0,0.0
1567,ENitan,5.0,excellent got still testing see speed greatest deal anyway cheap time,2012-12-24,714,0,0,0,0,0.0,0.0
1568,ENRIQUE CANTU,5.0,i added bg two san disk ultra gb memory cards psp micro sdxc adapter memory stick duo,2013-06-02,554,0,0,0,0,0.0,0.0
1569,Enrique,5.0,got couple cards storing music files mp player transferring things cell tablet pc they fast and theyve working good far last least black friday discount great,2014-01-26,316,0,0,0,0,0.0,0.0
1570,Enrique V. Melena,5.0,this sd card works great i issue since i bought i expect issues all,2013-07-30,496,0,0,0,0,0.0,0.0
1571,"ENZYMES ""natureskid""",5.0,it almost unbelievable micro sd cards range sizes gb class boot pun intendedcomes sd adapter work device uses sd micro sd memory card sure check whether device handle extra memory some devices recognize gb gb means unless check manufacturer fault bought wrong size memory able exchange due your mistakethis card used cost upwards long ago ridiculously cheap especially quality capacity gettingthanks,2013-03-16,632,0,0,0,0,0.0,0.0
1572,E. Pellegrini,5.0,use windows file history drive it fairly fast easy use durable ive also used normal sd card included adapter,2013-12-12,361,1,0,1,1,1.0,0.2065493143772374
1573,Eran Carmel,5.0,fast reliable have worked around months nothing complain aboutgood fit asus tf,2013-08-02,493,0,0,0,0,0.0,0.0
1574,ercadm,5.0,with prices tech items always dropping getting bleeding edge stuff usually costs bit more thanks amazon ability find deals like this worth getting gb micro sdxc phone i removed gb i phantom vision shipped gb unit class want using video recording always count sandisk quality,2013-12-20,353,0,0,0,0,0.0,0.0
1575,Eric B Beasley,4.0,pretty good price great performance ive using micro sd cards years tried many brands mostly cheaper there reason theyve around continue be,2013-10-12,422,0,0,0,0,0.0,0.0
1576,Eric B.,4.0,if sure card use gopro one works fantastic the majority stuff ive seen researching points these with exception issues gb but i cant validate im sure still problem ive using years problems,2014-05-05,217,0,0,0,0,0.0,0.0
1577,Eric Borchardt,5.0,i space droid razr gb still empty microsd slot i figured id pick seeing reputable brand flash memory i glad i went sandisk ultra seemingly difference speed drive builtin internal memory phone i record lot videos phone ive recording straight card hd problems allinstallation breeze i took memory card package inserted phone then phone brought menu asking i wanted move music videos photos memory card i selected three categories minutes moved media onto memory card i even anything else i read reviews said reformat card mess around moving files hand i thati tried using included sd adapter yet i imagine work well adapter the adapter memory card shipped little clear plastic case makes easier carry adapter around you so need itthe price card i bought dollars generic brands i decided spend extra dollars since i would really upset i lost photos videos due corrupt memory card i satisfied product i would highly recommend anyone looking increase storage capacity phone anything else would fit in,2013-01-22,685,0,0,0,0,0.0,0.0
1578,Eric buckner,5.0,good value money performs like sandisk piece mind fail,2014-02-07,304,0,0,0,0,0.0,0.0
1579,eric,5.0,first gb the volume enough in addition fit every device me i love it,2014-04-29,223,0,0,0,0,0.0,0.0
1580,Eric,5.0,functions perfectly samsung galaxy tab ii no issues slow processing times great product i highly recommend memory card tablets,2013-06-03,553,0,0,0,0,0.0,0.0
1581,Eric,4.0,i return get another one first faulty i hear semicommonmust enough testing might suggest buying two returning one desperate sudden need one chips matter size,2014-07-04,157,0,0,0,0,0.0,0.0
1582,Eric,4.0,works fine becoming annoying even flash devices buy gb get gb why label exact size,2013-04-05,612,0,0,0,0,0.0,0.0
1583,Eric,5.0,i installed micro sd asus tf transformer worked even though tablet supports gb this added gb usable space,2013-01-19,688,1,0,1,1,1.0,0.2065493143772374
1584,Eric,3.0,i like comes handy fits good galaxy s smartphone problem filing data computer,2014-05-19,203,1,0,1,1,1.0,0.2065493143772374
1585,Eric,5.0,what say memory card i took package i put gopro i turned gopro everything worked,2013-12-06,367,1,0,1,1,1.0,0.2065493143772374
1586,Eric Herrera,5.0,ok dad needed microsd gs galaxy s using way much space videos pictures one tech saavy people world i got him does work yes well i might add like i said dad work well tech microsd slowed phone saved pictures videos ran apps happy know problem this card experiences lag months in uhsi speed class really lives potential here best all perhaps little known fact you card waterproof get phone wet dies worry card still perfectly fine pop new phone theres stuff no cons yet update needed,2013-02-07,669,0,0,0,0,0.0,0.0
1587,Eric H.,4.0,relative needed new sd card upgrade gb trick great phone,2014-10-01,68,0,0,0,0,0.0,0.0
1588,Eric J. goff,3.0,not bad i doesnt feel quicker normal gb card and get gb storage,2013-07-15,511,0,0,0,0,0.0,0.0
1589,Erick Caro,5.0,i love micro sd i used main memory phone mostly galaxy s comes gb free space so i pretty much enjoy ultra gb music photos movies apps phone compatible moving apps sd stills works phones one i say one fastest micro sd i ever bought recommended lot,2014-03-02,281,0,0,0,0,0.0,0.0
1590,Erick,5.0,plenty room photos music random documents i decide load onto phone it works great htc one m apps stored sd card run smooth phone itself file writes fast i expected xc i cardthe downside minor microsd adapter comes seems little cheap but hey thats reason i bought card,2014-10-06,63,0,0,0,0,0.0,0.0
1591,"Eric Lee Elliott ""God Bless You,""",5.0,works well samsung s laptop hd video camerareplaces sd caused weird losses errors samsung sghm phone several sd cards refused writes lost data mount problems sandisk gb memory worked perfectly several devices operating systems,2013-05-12,575,0,1,1,-1,0.0,0.0
1592,Eric Preston,4.0,i purchased these htc incredible phone use key chain storage device both cards run hot after copying gb files almost scalding touch but reliable issues reading them times thumb drive adapter may fault card itself,2013-10-09,425,0,0,0,0,0.0,0.0
1593,Eric Redman,1.0,could figure card crashed multiple times samsung galaxy siii demanded reformatting then hrs calls sprint samsung i got guy reads factory stuffsamsung galaxy siii class class supported motherboard qualcomm processor the sprint stores sell class memory reason camera memoryclass sold there board like pc support data stream it notif android phone better make sure motherboard supports it even samsungs usa website tell board supported memory they wont tell board manufacturer galaxy siii phone i asked texas samsung advanced tech support center hr hold specs even share they get itpass if you have a cell phone unless you get it in writing from the motherboard manufacturer of your phone i went stuff building custom pcs intel motherboards memory built run board speed processor work properly crash lose data,2012-12-14,724,1,2,3,-1,0.3333333333333333,0.0614919447203962
1594,Eric Shapiro,5.0,i purchased card inserted new blackberry z smartphone first card recognized formatting exfat ntfs i know i know warnings told hell would open eat i this im scared all worked flawlessly would buy and reformat,2013-03-20,628,0,0,0,0,0.0,0.0
1595,Eric Sundquist,5.0,i bought memory card galaxy note its sandisk worked great the card recognized quickly i put music videos files save room internal memory the price also good,2013-10-10,424,0,0,0,0,0.0,0.0
1596,Erik Fisher,2.0,not ok gopro hero black edition the speed card brands class standard when i use card gopro protune on stop recording mins so i already returned item bought samsung class memory card instead,2013-11-29,374,3,0,3,3,1.0,0.4385029682449545
1597,Erik Larsson,5.0,i operate commercial whitewater rafting company buy bulk whilst renting gopros selling footage along card customer weve never bunk card problems whatsoever cards far i advised gopro rep sure buy name brand like sandisk the adapter well appreciated customer people dont port micro format also microsd ridiculously small far easy losehave buy again,2014-02-15,296,0,0,0,0,0.0,0.0
1598,ERK,5.0,bought add daughters new asus transformer excellent access storage speed,2014-04-07,245,0,0,0,0,0.0,0.0
1599,Ernest Bannag,5.0,work good,2014-11-07,31,0,0,0,0,0.0,0.0
1600,"Ernesto TOHME Hernandez ""ethom""",5.0,i bought use blackberry z it works great i hold music itunes precious pictures wife kidsno problems whatsoever z,2013-01-06,701,1,0,1,1,1.0,0.2065493143772374
1601,Errick Woosley,5.0,it works required fast processing data in weeks ive hasnt crashed,2014-05-01,221,0,0,0,0,0.0,0.0
1602,Erskine Mayers,5.0,bought this for my samsung galaxy sload it up with music and it works flawlesslyim very satisfied with this card,2013-11-17,386,0,0,0,0,0.0,0.0
1603,"esanta ""esanta""",1.0,i purchased card the gb version use samsung galaxy s phone it worked perfectly almost three months point stopped mounting the phone detects card incapable formatting it its even worse computer even detect card anymore and yes im using sdxccompatible usb readeri contacted sandisk rma probably replace it although replacement process needlessly slow painfuli bought card based glowing reviews im going stay away sandisk products on,2012-12-14,724,1,1,2,0,0.5,0.0945312057342307
1604,Esaul,5.0,great galaxy s didnt anything special transfer file fast got going must s phonesverizon s,2012-07-12,879,0,0,0,0,0.0,0.0
1605,Escarlet,5.0,this card quick responsive i love loads much quicker cards also price great,2014-08-06,124,0,0,0,0,0.0,0.0
1606,esdsix,5.0,gb doctor ordered take gb call morningthe ultra runs fast lots capacity electronic needs seller great getting package quick price right highly recommened,2014-01-24,318,0,0,0,0,0.0,0.0
1607,EsEmThree,5.0,when researching reviews best memory gopro read people issues card possibly could mobile version true class card so far issues card recording uploading etc,2013-09-15,449,0,0,0,0,0.0,0.0
1608,eshugart,5.0,works perfect no complaints its fast thats i bought it it says going,2013-02-08,668,0,0,0,0,0.0,0.0
1609,Eskimo,5.0,i always sandisk guy this cards works note s gives gb format cant ask much more including fact sandisk stands products excellent customer service i could never imagine buying micro sd sd ssd anyone else,2014-03-26,257,7,0,7,7,1.0,0.6456695649333126
1610,Esteban Esquivel Sanchez,1.0,i hate it worked fine months months started problems first every recognized device months after i pull place every hourit might microsd problem but i wont purchase one ever,2013-02-04,672,0,0,0,0,0.0,0.0
1611,Esteban Perez,5.0,theyre nice cards theyre fast come reputable brand hold gb card size fingernail really cost much anymore there several brands cards choose from i always liked sandisk i issues productsalso red gray branding card makes bit easier spot card case drop leave somewhere,2014-02-15,296,0,0,0,0,0.0,0.0
1612,E. Tam,5.0,ive nothing success sandisk microsd cards although may pay bucks generic brand want trust pictures video recording anything elseas i buy sandisk microsd cards keep good quality,2014-11-07,31,0,0,0,0,0.0,0.0
1613,"E. Tavano ""elpfan""",5.0,works well smartphone great speed highly recommended i use successfully samsung galaxy sii phone,2013-06-26,530,0,0,0,0,0.0,0.0
1614,Ethan,5.0,exactly looks like gb micro sd card reads writes well comes good packaging sd card adapter sandisk brings high quality product i tend stick cheaper brands,2013-03-12,636,0,1,1,-1,0.0,0.0
1615,"Ethan Winning ""Ethan Winning""",5.0,i want write review gb sandisk microsdhc class cards theyre stars theyre extremely fast class s allowed canon sxs shutter speed transfers information quickly cameras small processor they also allow burst mode fps amazing nondslrthese cards also reliable ive readwrite failures two years ive using themthe one negative theyre small dropped easily getting adapter still working computers since gerbil running power pc marvel anything small hold high def gb photos gb card smaller pinky nail,2014-03-29,254,1,0,1,1,1.0,0.2065493143772374
1616,Etienne,5.0,not much say works fine the included adapter difficult remove microsdhc card from may due big fingers plus card small one would expect micro naming the speed adequate buffering issues noticed video capture phone hd resolution recommended,2013-04-22,595,0,0,0,0,0.0,0.0
1617,Eugene A. Wright,4.0,if electronic calls size use it but i hate it its darn small fool with this one works well i try avoid size futher,2014-05-30,192,0,0,0,0,0.0,0.0
1618,Eugene Tourangeau,5.0,i use sandisk exclusively serious prosumer work including hour concert videos ive never problem years use anything else,2014-04-22,230,0,0,0,0,0.0,0.0
1619,Eugene Trinidad,5.0,i bought stash the ones i would watch go movies songs i previously owned new galaxy s i extremely impressed fast device works outside phone inside used phone it dramatically slow phone sd card wired computer via usb really unrelated process isnt painstaking fast huge capacity definitely must enthusiastsnote as ics android stopped allowing movement apps sd card so youre planning installing games onto card need rooted phone the card useful things music video roms youre interested even then,2013-02-05,671,1,0,1,1,1.0,0.2065493143772374
1620,Evan Bartilson,5.0,transfers mbs super speedy allows run software windows tablet,2014-12-02,6,0,0,0,0,0.0,0.0
1621,Evaristo Avila,5.0,great great deal i bought really good price bought brand new galaxy s i looked stores found micro sd card selling this works straight box i issues it buy now,2013-07-21,505,0,0,0,0,0.0,0.0
1622,Everything,5.0,it works great im using car dash cam i purchased different cards one actually fast enough read write,2012-11-09,759,0,0,0,0,0.0,0.0
1623,E Wright,5.0,wow fast memory card i bought new gopro hero great performance full hd videoshipping fast nice communication shipping estimated arrival timethe sd card adaptor works perfect full sized sd reader built laptoptransfer speeds blazing read speeds amazingsandisk best really worth buy top end class micro sd cardif hd video card you video demanding youneed sd card keep upin hawaii play hard gopro sandisk card working flawless full p video,2013-01-24,683,0,0,0,0,0.0,0.0
1624,Expo67,5.0,we needed option increase storage available wifes nook tablet serve purpose perfectly just inserted micro sd slot seconds later recognized,2013-10-05,429,0,0,0,0,0.0,0.0
1625,E. Yeager,5.0,so far card worked well no glitches dropouts it recognized everything far work computer home computer camera not problem yet,2014-07-04,157,0,0,0,0,0.0,0.0
1626,Ezra,4.0,gets stuck sometimes adapter little hard pull out but great product,2013-01-23,684,0,0,0,0,0.0,0.0
1627,Fade,5.0,i issues card it works great i ton storage space music not bit overkill thats i like it,2013-01-27,680,0,0,0,0,0.0,0.0
1628,Fader,5.0,after i ordered gopro hero black i started searching good microsd card everywhere i looked wanted like for gb digging around ebay gets retarded times chance i found one ttd performance awesomei tell market gopro hero black get card go wont sorry,2013-06-14,542,0,0,0,0,0.0,0.0
1629,Failtelorn,5.0,using mini mp player plinking songs onto worked flawlessly now gb player gb player,2013-12-19,354,0,0,0,0,0.0,0.0
1630,Faisal,5.0,i used gopro recorded amazing p videos long time lapses no issues freezing corrupting hd videos,2014-09-06,93,0,0,0,0,0.0,0.0
1631,Faisal,5.0,i used dashcam records p continuous hours without fail also used zoom h,2014-05-19,203,0,0,0,0,0.0,0.0
1632,Fake Name,4.0,i use gopro black it works well itd nice came little usb reader like brands,2014-01-30,312,0,0,0,0,0.0,0.0
